Live chat ID,Channel ID,Live chat create timestamp,Price,Parent live chat ID,Video ID,Live chat text
Ugy0DB65KABolauxaSV4AaABDqgBq4makAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:58:28.603019+00:00,0,,7cKWX3K8458,"{""text"":""did he fart???""}"
UgyasL1enjwCpTzGcjt4AaABDqgBr-imiwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:58:07.461666+00:00,0,,7cKWX3K8458,"{""text"":""dawg""}"
UgwD0Wy1i-2tOyga_kN4AaABDqgB6KnHnQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:57:12.147814+00:00,0,,7cKWX3K8458,"{""text"":""dawg ate the hadphone""}"
UgyKX4LBJP20o5UezF14AaABDqgB4dSCnAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:56:41.03313+00:00,0,,7cKWX3K8458,"{""text"":""lol""}"
Ugzd_kU-qkUmUbtTYxh4AaABDqgBisLyngI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:56:01.171102+00:00,0,,7cKWX3K8458,"{""text"":""bruh his accent""}"
Ugwo80Uy4OyrmiXdOcd4AaABDqgByMneiwI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:55:28.361698+00:00,0,,7cKWX3K8458,"{""text"":""indian Australian accent""}"
UgzvOQQWxY1oTbZjbz94AaABDqgB9-yukgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:54:23.628568+00:00,0,,7cKWX3K8458,"{""text"":""bro got the accent expansion pack""}"
Ugxv7-wCVdyzOeVJ_414AaABDqgBvbzAkAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:53:54.942421+00:00,0,,7cKWX3K8458,"{""text"":""wtf""}"
Ugw___-XDuol7B-QmXt4AaABDqgBhKfakgI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:53:20.327536+00:00,0,,7cKWX3K8458,"{""text"":""bro trynna have a western accent""}"
UgyZbTWrWVcpC8iuAzB4AaABDqgBqIrTnAI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:50:53.287608+00:00,0,,7cKWX3K8458,"{""text"":""lol u high @Juan ?""}"
UgwXksYXqL3mp_XGH9J4AaABDqgB8aTJgQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:50:12.733241+00:00,0,,7cKWX3K8458,"{""text"":""@Juan no""}"
UgxHY6aiA4GVobcvrjl4AaABDqgB_eqPmQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:46:56.99642+00:00,0,,7cKWX3K8458,"{""text"":""bruh exposing number is suicidal idea""}"
UgwqErW9qVFvzEJUxBp4AaABDqgBnarrmQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:42:46.628347+00:00,0,,7cKWX3K8458,"{""text"":""@Azzy shut up""}"
UgxXGNujDtTQ9MWnMn54AaABDqgB6-SCiQI,UCSLj2L6Fa78dtxFbbUarM8Q,2025-01-31T20:40:56.731883+00:00,0,,7cKWX3K8458,"{""text"":""just don't spam""}"
