Comment ID,Channel ID,Comment create timestamp,Price,Parent comment ID,Post ID,Video ID,Comment text,Top-level comment ID
UgwmfKIM2vJv7Tj0JZl4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T05:38:13.480292+00:00,0,,,wyYUHSGofhQ,"{""text"":""Now this is pure art""}",
Ugwy7OJkAUF4rgohKbl4AaABAg.AF3VhmnR4DuAF46BJTIgFh,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-28T04:29:01.622298+00:00,0,Ugwy7OJkAUF4rgohKbl4AaABAg,,3yb9vcIM0pw,"{""text"":""The greatest Epstien Island technician that's ever lived""}",Ugwy7OJkAUF4rgohKbl4AaABAg
Ugwupna6I8KGy_CbrrJ4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-27T18:22:38.01145+00:00,0,,,eL4TkViztIQ,"{""text"":""69""}",
UgxtxyCdouP9IbRg72N4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-27T14:23:19.602993+00:00,0,,,rK_ErKHeWn0,"{""text"":""Oblivion NPC cutscene""}",
UgxswcSYu9xGUBihlm14AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-27T14:02:03.452854+00:00,0,,,EbiZFlivR6g,"{""text"":""Cave divers when they find the cave named \""Satan's ass crack of gasious doom\""""}",
UgzGYbvmqsnTBEpDu2B4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-27T13:57:38.004397+00:00,0,,,vCM5szaoEGo,"{""text"":""Kids speedrunning adoption center""}",
UgwrPCFNvYUKcCGe51R4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-27T13:40:38.833999+00:00,0,,,WSin8T7lIS8,"{""text"":""The accurate title would be \""last broadcast of governments\"", the countries listed are still here to this day but with different governments""}",
UgzmHGaiXFX6bOMSkFt4AaABAg.AF1Qe5jjMnIAF1e-agifC1,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-27T05:35:32.444881+00:00,0,UgzmHGaiXFX6bOMSkFt4AaABAg,,U06jlgpMtQs,"{""text"":""Our*""}",UgzmHGaiXFX6bOMSkFt4AaABAg
UgzwdIMZicUOvghjI1x4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T23:31:41.609201+00:00,0,,,KC1AzL6qS58,"{""text"":""Cave divers when they discover a cave named \""Satan's schlong tip cord of death\""""}",
UgwKjFkIAFal5wtupR14AaABAg.AF0y7s8IxYXAF0zfzqc2oH,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T23:25:43.546652+00:00,0,UgwKjFkIAFal5wtupR14AaABAg,,28gF9Am17HE,"{""text"":""*waste""}",UgwKjFkIAFal5wtupR14AaABAg
UgxjMar7QiqygFi_ejt4AaABAg.AF0skW2PUorAF0y55r10bc,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T23:11:48.850772+00:00,0,UgxjMar7QiqygFi_ejt4AaABAg,,mNett837-2c,"{""text"":""WHY DID YOU REDEEM IT??? YOU ARE ENDING MY LIFE""}",UgxjMar7QiqygFi_ejt4AaABAg
Ugwu0cAKSsjb4Ev_FV14AaABAg.AF0n23gyY7tAF0pRp4XYyx,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T21:56:16.337244+00:00,0,Ugwu0cAKSsjb4Ev_FV14AaABAg,, -zXwy_sJnGk,"{""text"":""Same as your life""}",Ugwu0cAKSsjb4Ev_FV14AaABAg
UgyTZ4PJMtLPAxYXvxV4AaABAg.AF0mUgM5FAPAF0opPPKo6p,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T21:50:53.453935+00:00,0,UgyTZ4PJMtLPAxYXvxV4AaABAg,, -zXwy_sJnGk,"{""text"":""Umm, actually it's not funded by the government whatsoever. If a government would spend $6million a toilet, they'd rather invest it or trade stock""}",UgyTZ4PJMtLPAxYXvxV4AaABAg
UgyDEPSSNlS2rwiCW1J4AaABAg.9zlKBoOskktAF05lSNjMLf,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T15:08:23.857755+00:00,0,UgyDEPSSNlS2rwiCW1J4AaABAg,,Mw1MWfilz_k,"{""text"":""Youtube compression bruv, streaming is very power hungry""}",UgyDEPSSNlS2rwiCW1J4AaABAg
UgzOn2WREwkOLjHl1qp4AaABAg.AEp7G9Dm38AAF-vCNbNp5k,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T13:27:21.164929+00:00,0,UgzOn2WREwkOLjHl1qp4AaABAg,,nuTMp_wijMo,"{""text"":""So... He's a man of culture""}",UgzOn2WREwkOLjHl1qp4AaABAg
Ugw15rIjvKrBwQ-lfeV4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T13:18:09.031801+00:00,0,,,nuTMp_wijMo,"{""text"":""Microsoft guy with a bollywood accent when my grandma made an unfunny joke: ""},{""text"":""2:58"",""videoLink"":{""externalVideoId"":""nuTMp_wijMo"",""startTimeSeconds"":178}}",
UgyZ3yhcLmzrVfLsCeF4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T11:28:57.043087+00:00,0,,,Kc8ytwwnBYQ,"{""text"":""Bet NVIDIA employees remove the \""QC Failed\"" sticker from the customs after import""}",
Ugyhvz81ZQuH2gXOmNt4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T04:29:08.264357+00:00,0,,,owtUo23C7AQ,"{""text"":""The children in my basement have never seen the cloud""}",
UgzZjPHZ2b6V81MWNnR4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T04:10:28.263786+00:00,0,,,NHPuzV1cxr4,"{""text"":""Fun fact: hitting your head headfirst into a body of water will give you concusion""}",
Ugwv1Axfcio_r3Qic7N4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T04:06:32.810076+00:00,0,,,ru-LNlPD5eU,"{""text"":""It's a small world, you know it's the judge who met his classmate""}",
UgxGsw5PNu6Msa_5-Dd4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-26T00:08:57.334429+00:00,0,,,is800A4FpQs,"{""text"":""We all know why it has a ""},{""text"":""plastic""}",
Ugz7ZO71_SCk9m-dubB4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T18:00:32.8118+00:00,0,,,AKzaAvLHtjg,"{""text"":""Damn this comment section is 40% bot""}",
UgwEY-RJCffPtBi0-2x4AaABAg.AEykWu3bdNsAEyp_-SvLd5,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T17:59:40.103402+00:00,0,UgwEY-RJCffPtBi0-2x4AaABAg,,AKzaAvLHtjg,"{""text"":""Lol we would be very glad to see you unalive than spam every comnent section""}",UgwEY-RJCffPtBi0-2x4AaABAg
UgxRNA5JgwC2C9KFnlN4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T17:49:00.095198+00:00,0,,,AKzaAvLHtjg,"{""text"":""Charlie, You interrupted my gooning session""}",
UgxEUC376U10c30GYQ14AaABAg.AExcZVk96_rAEyo8WlB8zs,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T17:47:10.699334+00:00,0,UgxEUC376U10c30GYQ14AaABAg,,xy3AcmW0lrQ,"{""text"":""Repetitive""}",UgxEUC376U10c30GYQ14AaABAg
UgzPpKoVrLhZ4vHplb54AaABAg.AEyVWNHYf48AEyVoXd0nCt,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T14:58:17.33775+00:00,0,UgzPpKoVrLhZ4vHplb54AaABAg,,O41fM4UiADE,"{""text"":""It's an entirely different story when it comes to removing a single 1k resistor""}",UgzPpKoVrLhZ4vHplb54AaABAg
UgzPpKoVrLhZ4vHplb54AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T14:55:40.396153+00:00,0,,,O41fM4UiADE,"{""text"":""Capacitors function as decouplers stabilizing current, you could remove all capacitors from your PC and still work fine but you'll get lots of spikes""}",
UgxKiqMwqjECF-rSW9t4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T14:48:54.55551+00:00,0,,,RR3VhfN4Qhw,"{""text"":""Deporting them costs less than letting them stay abusing taxpayer dollars and commiting crimes""}",
UgygPna7T09TtaFkiKh4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T14:16:13.378856+00:00,0,,,Fo7L8p1I_Hw,"{""text"":""This is a certified hood classic""}",
UgwfJXwChwzWsMZRS4x4AaABAg.AEwxxA1TbhkAEyGqvRNIOb,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T12:47:32.578251+00:00,0,UgwfJXwChwzWsMZRS4x4AaABAg,,he0OPeNxYYA,"{""text"":""Naw dawg she livin' in da hood""}",UgwfJXwChwzWsMZRS4x4AaABAg
Ugw9jVQp410Ark3syzF4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T12:34:28.049433+00:00,0,,,Im4JVVpxgwU,"{""text"":""Analised the dll files on my phone and saw some sussy lines of codes like all file types, accessing C:\\, serialized codes, it also connects to multiple websites, and downloads and installs some programs""}",
UgxOHbbwqShsZKICCsV4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T10:42:18.173394+00:00,0,,,TcBzyuW8zJ4,"{""text"":""This is likely fake""}",
UgwtkV8b_g1GXuRKYyN4AaABAg.AExoDcu7v30AExoF2QJSMx,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T08:28:49.645769+00:00,0,UgwtkV8b_g1GXuRKYyN4AaABAg,,bOU2aSAjtbI,"{""text"":"".""}",UgwtkV8b_g1GXuRKYyN4AaABAg
UgwtkV8b_g1GXuRKYyN4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T08:28:38.144811+00:00,0,,,bOU2aSAjtbI,"{""text"":"".""}",
UgxTruOhWwtUMM1e7XB4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T05:48:40.092175+00:00,0,,,lfErr9NSI1Q,"{""text"":""Cave divers with 2 wives and 6 childrens when they find the cave named \""Satans Schlong tip cord of death\""""}",
Ugyg1G1xhXlunlNAaXp4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T05:13:06.503544+00:00,0,,Ugkxxlvy6tERQQOC5z3MlRH3AEWRXW1XfX9l,,"{""text"":""We need more sauce""}",
Ugx2lc_TTlPPjEQzmQB4AaABAg,UCSLj2L6Fa78dtxFbbUarM8Q,2025-02-25T01:34:48.963994+00:00,0,,,6qmUTclZhUo,"{""text"":""2025 and it's still a banger""}",
